id,severity,confidence,reproducibility,category,route,devpost_criterion,title,actual,recommended_correction,smallest_correction,acceptance_criteria,effort,score_leverage,related_source_issues
MB-011,P1,High,Always,Accessibility / visual,/session/<uuid> step 4 - Experiment Theater - Boundary tab; /session/<uuid> step 4 Boundary tab,Design,"The lesson's key payoff sentence (Boundary tab) renders at measured ~1.6–1.8:1 contrast — effectively unreadable, including post-completion","'The conclusion changes at the entity boundary.' and 'The verified whole-customer run has 0 shared customers; the random-row run has 389.' measure ~1.8:1 (text rgb(167-169,183-184,201-202) on rgb(240,242,243)) || Heading and body render in light blue-gray on near-white: measured heading 1.82:1, body 1.63:1 (text (167,183,202)/(179,193,213) on (240,242,243)). The most important sentence of the step is the lowest-contrast text in the product; it remains ghosted after full session completion.","Use the default body-text color token (>= 4.5:1) for payoff sentences; reserve muted tokens for captions/metadata || Render the verified boundary statement at full contrast with the same emphasis treatment as other verified outcomes (solid card, statement in display type, overlap numbers as stats).",Change the two <p> elements in the Verified-sample-boundary card from the muted gray to the standard body color (one class/token swap) || Remove the muted/ghost style (opacity or gray token) from the boundary card text.,"['Payoff text measures >= 4.5:1', 'Re-check with contrast tool on Boundary tab'] || Boundary statement measures >=4.5:1 contrast and is legible without zoom in the sample journey.",XS,High - fixes the demo's money-shot moment,A8-01 A6-03
MB-012,P1,high,always,Pedagogy / impact claim,/session/<id> (Step 5 Apply -> Step 6 -> /proof),Potential Impact,"Mastery language ('You applied the rule correctly','you can now distinguish…') is awarded from a single 2-item multiple-choice gate passed on retry after an answer-revealing hint — contradicting the product's own 'not global mastery' limitation",Global-sounding capability claim after one gate; retry count invisible in UI; proof record limitation ('does not prove global learner mastery') is not reflected in learner-facing language,"Add a second, structurally different transfer task (e.g., class imbalance or group-leakage variant); gate 'You can now distinguish' on first-attempt passes; show attempt history",Change headline to 'You applied this rule once - first attempt: no' with a 'try another surface' prompt,Proof page shows attempt count and task-scoped capability language; global mastery phrasing absent unless >=2 distinct tasks passed first-try,M,high,A5-07
MB-013,P1,High,Reproduced by multiple independent agents,Pedagogy,"/session/<id> (Step 1 Question); /session/<id> (Step 4 Boundary -> Apply tab, rule builder); /session/<id> (Step 4 Boundary, Experiment Theater); /session/<uuid> (step 2 Prediction)",Potential Impact,"Generative moments are done for the learner: system authors both competing models, both predictions, the result interpretation, and the boundary conclusion; the learner only confirms — realised experience ≈ well-instrumented lecture","All interpretation text is pre-written; the only learner act in the Theater is tab-clicking || Zero-construction click-through is the default path; free-write starts from app text; rule content receives no response || Full canned claim inserted and accepted unchanged; flows into 'Your claim' everywhere with no provenance mark || The only required learner inputs are a claim sentence, one radio choice, and optional confidence. Click-through without thinking is possible at the product's signature step.",Insert a required learner interpretation ('In one sentence: which model survived and how do you know?') before revealing the app's reading; make Observe completion contingent on it || Empty defaults with at least one distractor per slot; blank free-write; echo the learner's rule at transfer and proof with a self-rating ('does the forecasting case match your rule?') || Use sentence frames with blanks instead of complete claims; flag template-assisted claims in UI and proof record || Ask for a fre…,Add one required empty textarea at Observe; reveal app interpretation after submission || Start free-write empty and remove dropdown defaults || Require >=1 edit to the starter text before 'Compare two explanations' enables || Remove the 72% preset (start empty) and require a one-line 'why I expect this' before sealing.,Progress past Observe requires a non-empty learner-authored interpretation entered before the app's conclusion text is visible || Rule builder loads with no clause pre-selected (or blank free-write); at least one keyed-wrong clause exists per slot || Unedited starter claim cannot advance; or claim is labeled 'template-assisted' at seal and on proof page || Sealed prediction contains at least one learner-authored token beyond a radio id.,M,high,A5-05 A5-06 A5-08 A2-08
MB-014,P1,High,Reproduced by multiple independent agents,Judge comprehension,"/; /, /judge; Submission category field + project description",Quality of the Idea,One-sentence novelty/track-fit failure: 'CI for understanding' reads as developer tooling; homepage first-20-second test fails who-it's-for / why-prediction / what-Codex-does; Education-track student/teacher anchor absent,"Strong tagline exists ('Ask like chat. Prove it like science.') and /judge has 'Generated vs. computed vs. verified', but nowhere is the delta stated in one sentence, no lineage is cited, and no named contrast is made. A judge with education background sees Mazur 1997; a technical judge sees a leakage linter with chat; the distinctive composition (sealed prediction + fixed-kernel computed evidence + frozen verifier + signed artifact + transfer-gated repair on the learner's own notebook) must be self-assembled. || Briefing framing is engineering-flavored ('CI for understanding', kernels, verifi…","Add a 'Why this is new' block to /judge and the Devpost page: one sentence of invariant ('No number on this page was written by an AI — every number is recomputed by a pinned kernel from downloadable evidence'), one line of lineage ('POE gave science class the loop; CounterLab makes it machine-checked'), three named contrasts (Study Mode/Khanmigo explain; Kaggle teaches leakage as content; NBLyzer/sklearn-diagnose lint code — none seal a prediction and issue a checkable learning artifact) || Rew…","One sentence under the /judge hero: 'Chatbots explain your notebook. CounterLab seals your prediction, recomputes the answer with a pinned kernel, and signs the belief change. Predict-Observe-Explain, machine-checked.' || Lead the description with one student and one teacher scenario || Replace the tagline block with: 'For learners with a Python notebook: state what you believe your result means, …","['A first-time visitor can find and quote the novelty sentence within 20 s on / and /judge', 'Lineage (POE and/or Peer Instruction) explicitly cited on a public surface', 'At least 3 named competitor/prior-art contrasts present on /judge'] || A screener can classify the project as Education within 15 seconds of reading || Cold users can answer 8/10 questions in hallway testing; 'prediction' appears on the fold.",S,medium-high — protects Stage One and Impact,A15-01 A14-08 A2-05
MB-015,P1,High,Reproduced by multiple independent agents,Judge experience,"/judge; /new, /session/<uuid>; /replay/leakage-01, /judge",Technological Implementation,Flagship Proof Capsule is not inspectable from /judge: no sample capsule link; reaching one needs ~25 clicks / ~10 min; category-owning proof exists only in the (broken) live mode,"Without an upload the live path dead-ends in perpetual 'Preparing artifact...' labelled 'Uploaded notebook evidence' with no prompt to upload (Agent 1, Reproduced 2x). Upload itself is untestable from black-box seats. All publicly reachable evidence (sample session, replay leakage-01) is canned on a seeded lesson. No public live trace on a non-sample notebook was found. || The single most persuasive technical asset is reachable only after ~25 interactions || Replay is honest about its limits but the capsule — the product's signature object — is precisely what the replay cannot produce; replay …","Ship (a) a public 'verified live trace' on a reviewer-visible non-sample notebook (replay-style, clearly labelled), and (b) fix the /new dead end: detect no-artifact and route to an explicit upload prompt or the sample, never a perpetual 'Preparing artifact' || Publish one featured, labelled sample capsule (download + pretty viewer) and link it from the /judge hero and the replay's disabled-download explanation || Record a v2 replay whose final state includes a downloadable capsule; disambiguate…","Record one live session on a fresh sklearn notebook (not the sample), publish it as /replay/live-01 labelled 'live capture', and link it from /new's failure state || Link a completed sample /proof/<uuid> ('Inspect a finished proof page') from the sample-mode card || Add one line on the replay final state: 'Capsule issuance was added after this recording; start the sample to receive one.'","['A judge can reach a complete computed-evidence trace without uploading anything', ""No path shows 'Uploaded notebook evidence' when no artifact exists"", '/new without an artifact offers explicit upload affordance + sample fallback'] || A judge can inspect a real capsule within 2 clicks of /judge || ['At least one public replay ends with a downloadable capsule', 'Hash terminology disambiguated wherever shown']",M,high,A15-02 A3-12 A15-11
MB-016,P1,High,Reproduced by multiple independent agents,Claim accuracy,"/session/<id> (Step 4, Explore tab); /session/<id> (sample) vs /replay/leakage-01; /session/<uuid> (sample), /replay/<id>, /judge; https://counterlab.cserules.workers.dev/ (and /judge)",Technological Implementation,Determinism/computation claim scoping: 'fixed kernels calculate the result' / 'Computes every number' is presented on surfaces where results are a stored 2026-07-14 recording replayed into fresh sessions; claim must be scoped per evidence mode,"Could not test; risk that copy implies end-to-end determinism while visible text varies run-to-run || The experiment result is byte-identical across every observed session (resultHash a6ae7652e04e...; accuracy 0.9847/0.5944/0.6736) and the lab.verified payload states source 'stored-approved-leakage-v1', recordedAt 2026-07-14T11:18:03Z, image 'counterlab-runner:local'. The versions block states environment 'Cloudflare Worker with recorded local Docker runner evidence'. Yet the four-authorities copy says 'Fixed kernel - Computes every number - Runs registered split, metric ... deterministically …","Label layers in UI: 'LLM framing (may vary)' vs 'Deterministic kernel result (reproducible)' vs 'Verifier decision'; show a 'same input → same verdict' replay badge || Label the sample path as 'recorded verified evidence (deterministic replay of the 2026-07-14 verified run)' wherever the four-authorities story appears, and state plainly which modes compute live. || Apply replay-grade disclosure to sample mode: persistent 'Recorded evidence — replayed for this session' note at Test/Repair/Proof. …","One scoping sentence next to each verdict || Add one line on step 3 of the sample ('Result authority: Fixed kernel - recorded verified run, replayed deterministically') and a matching footnote on /judge. || One-line provenance note under 'Test plan verified'. || Relabel Explore tab honestly as 'available with your own notebook' and add one precomputed side-by-side comparison the learner can reveal…","Two identical runs produce identical kernel results/verdicts; any framing-text variance is visibly labeled as such || A user can tell, without reading the API, that sample/replay results are recorded; live vs recorded modes are explicitly distinguished in the UI. || A first-time user can state, unprompted, that no computation ran for their session. || Sample Explore offers >=1 control whose change produces a different verified metric; or tab is c…",M,medium-high,A14-12 A9-04 A10-03 A5-09
MB-017,P1,High (element list),Always,Accessibility,/session/<uuid> - Command palette (opened via Studio drawer > Commands or Ctrl+K),Design,"Command palette and several download/patch buttons expose shortcut letters ('N','E','V') or no accessible name at all — screen-reader users hear 'N button, button'","Commands render as button+span siblings: button names are 'N', 'E', 'V' (the keyboard-badge letters); 'Review patch' and 'Download patched notebook' buttons have empty names; the descriptive text sits in a separate non-focusable span. SR users hear 'N button, E button, V button, button, button'",Wrap badge+label in one <button> and put the description inside it (or aria-labelledby to the label span); hide kbd badge with aria-hidden=true,Add aria-label='Analyze notebook' etc. to each palette command button and aria-hidden to the letter badges,"['Every palette command has a non-empty accessible name equal to its visible label', 'Letter badges not exposed to AT']",XS,Medium-High,A8-03
MB-018,P2,high (existence); medium (novelty attribution),Reproduced by multiple independent agents,Navigation,"/; / (sidebar); /session/<uuid> (step 4 Boundary, Explore tab)",Design,Dead navigation: 'How proof works' and 'Review the supported evidence boundary' links are no-ops; sample-mode Explore tab dead-ends,"Nothing happens: URL stays '/', no new content, no modal, no scroll. The link is an anchor with no effective target. Because unknown routes silently redirect to '/', the click is indistinguishable from a no-op. || No navigation, no modal, no content change; URL stays '/'. || No navigation, modal, scroll, or expansion; only the link's active styling changes. The one-line 'How proof works:' summary on the fold remains the only explanation. || Anchor scroll to one sentence already on screen || URL stays on '/'; only the sidebar hover/active background changes; the page already shows a short 'How …","Point the link at a real destination: a dedicated /how-proof-works page (or /judge#authorities anchor) describing fixed kernels, frozen verifier, evidence binding, and limitations. || Link to a real boundary doc (supported Subject Packs, packages, patch shapes) — e.g., /judge#known-boundary or a dedicated page. || Open a short proof explainer (what is fixed, what is generated, what is verified, what is refused) with a concrete example. || Link to a real method page or the /judge authorities + cl…","Add href='/judge' (which already contains the 'Generated vs. computed vs. verified' explainer) or an anchor to the footer explainer text. || Repurpose existing /judge 'Known boundary' section as the href target. || Remove the link or point it at the replay page, which already demonstrates the concept. || Point the link at /judge#generated-vs-computed || Link it to /judge#proof or remove it. || Poi…","Clicking 'How proof works' produces a visible destination explaining the proof model; link has a real href; keyboard/screen-reader reachable. || Link navigates to content enumerating supported evidence; no dead anchors on the homepage. || Click yields visible explanatory content. || The link navigates to substantive proof-method content || Click produces a visible, meaningful result. || ['Both links navigate to substantive proof-explainer content…",S,high,A1-01 A1-02 A2-06 A3-08 A6-12 A15-03 A2-12
MB-019,P2,High,Reproduced (contamination on in-app restore; cold reload of the same URL shows the correct recorded claim),State consistency,/proof/<session_uuid>,Technological Implementation,"Proof page 'Before'/Reasoning Diff leaks the ambient draft claim during in-app navigation, diverging from the signed record (cold reload correct)","During SPA navigation (Studio drawer → Recent sessions) with an ambient unsubmitted claim draft present, both the 'Before' card and the Reasoning Diff 'Belief → Before' cell render the NEW draft claim ('agent1 inert probe: does accuracy prove generalization?') — text that was never part of this session — while the downloaded signed record keeps the original claim. A subsequent cold reload of the same /proof URL renders the CORRECT recorded claim, so the divergence is confined to in-app client state, but it is 100% visible in the normal click flow. A fresh sample session's claim box stayed empt…",Bind all proof-page and Reasoning-Diff fields strictly to the session event log/proof record fetched for that session id; never render ambient draft state on /proof routes; add a UI-unit test asserting record equality.,"On /proof/<id>, populate 'Before' from beliefTest.learnerClaim of the loaded record only.","After drafting any new claim elsewhere, the restored proof page shows the original recorded claim in both the card and the diff table; values match the downloaded record byte-for-byte.",S,Protects the single most important screen for the 'Reasoning Diff + Proof Capsule' thesis.,A1-04
MB-020,P2,medium,Reproduced by multiple independent agents,State consistency,/proof/<id> (Evidence & proof → Provenance); /proof/<uuid> (Evidence & proof drawer > Provenance); /proof/session_<uuid> (Evidence & proof drawer > Provenance); Studio drawer ('Project & evidence'),Design,"Stale provenance/status labels post-completion: 'Boundary: Locked until verification', 'Capsule: Issued after verified repair', Studio history stale statuses",Labels read 'Boundary: Locked until verification' and 'Capsule: Issued after verified repair' even though verification and verified repair have completed — reading as if the boundary is still locked and the capsule only conditionally available. || 'Boundary: Locked until verification' and 'Capsule: Issued after verified repair' are shown even though lab.verified and patch.verified events already exist; reads as stale or as unexplained rule text rather than status. || 'Boundary: Locked until verification' is shown after verification and repair completed; 'Capsule: Issued after verified repair' …,"Bind both labels to session state; show the issued capsule's bundleId. || Bind Boundary/Capsule rows to session state and show capsule id + hash once issued. || Bind provenance rows to session state with explicit current values and timestamps. || Label from current state, show claim snippet + relative time, paginate the list, mark closed sessions","After verified repair, switch the two lines to past tense with ids. || Change copy to explicit status values derived from the bundle ('Boundary: verified', 'Capsule: issued - proof_<id>'). || Reword rows as static facts ('Boundary check: verified on whole-customer split') or mark policy rows distinctly from state rows. || Use current state for the label and append a short session id/time to each r…","Post-completion Provenance shows verified boundary + issued capsule id. || Post-completion, Provenance shows verified boundary and issued capsule identifier matching the downloaded bundle. || No provenance row contradicts the session's completed state. || Drawer statuses match the destination page state for every entry",S,medium,A1-13 A2-03 A6-13 A4-08
MB-021,P2,high,Reproduced by multiple independent agents,Replay experience,"/new; /proof/<uuid>; /replay/leakage-01; /replay/leakage-01 (final screen after 'Verify notebook patch'); /session/<id>, /proof/<id>, /replay/leakage-01",Design,"Replay chrome defects: stepper frozen at 'Step 4 of 6 · Boundary', 'Preparing proof' never resolves, enabled-looking dead download buttons, tense copy conflicts with the recorded banner","Header remains 'Step 4 of 6 · Boundary' with steps 5 and 6 greyed/unchecked at every later stage, including the final read-only proof view that shows 'Transfer status: Passed'. || Both buttons render in the same blue styling as the functional live-page versions but are non-interactive (absent from the clickable-element set). 'Preparing proof' persists indefinitely, reading as a loading state that never completes. The /judge page does disclose 'does not offer a Proof Capsule download', but the replay UI itself does not say why the buttons don't work. || 'Preparing proof' spins forever (a loadin…","Drive the replay step indicator from the same stage state machine as the live session. || Render the buttons with disabled styling + tooltip/inline note ('Not available for legacy v1 replays'), and replace 'Preparing proof' with 'Proof Capsule not issued for this replay'. || Introduce an explicit terminal state for legacy replays explaining the v1 limitation and offering the sample lesson as the capsule-generating path || Mode-aware copy for replay. || Publish the invariant/mutation report bodie…",Map replay stages to step numbers for the header only. || Add aria-disabled + grey styling + one-line reason under the buttons. || Replace the spinner label with 'Proof Capsule unavailable for this 2026-07-14 v1 recording' and add a one-line reason under the disabled buttons || Change to past tense in replay mode. || Include the 18+12 checklist with per-item evidence strings in the proof bundle JS…,Replay header shows Apply/Repair as active/checked at the matching content stages. || Disabled downloads are visually and programmatically distinct and self-explaining; no perpetual 'Preparing' copy. || No indefinite loading state anywhere in replay; the v1 limitation is stated on the replay final screen itself; a judge never needs to return to /judge to understand why downloads are disabled || No present-tense execution claims in replay mode. ||…,XS-S,medium-high (Design; converts an apparent bug into disclosed honesty),A1-06 A1-07 A3-03 A2-16 A10-12 A2-13 A3-07 A6-16
MB-022,P2,High,Reproduced by multiple independent agents,Routing / production polish,"/<any-unknown>; /proof/<bogus>, /replay/<bogus>, /session/<bogus>, /<unknown>; /replay/does-not-exist-99; /robots.txt, /sitemap.xml, /favicon.ico; /session/<unknown>, /proof/<unknown> (and any unknown",Technological Implementation,No real 404: unknown routes silently redirect to / or render homepage under the bogus URL with only a toast; robots.txt/sitemap swallowed by SPA fallback; favicon request hangs,"Both URLs silently land on '/' with no message. Mistakes are invisible; combined with the app's dead anchors (A1-01/A1-02), bad navigation cannot be distinguished from working navigation. HTTP status code could not be observed (tooling). || A red toast 'Session not found: bogus-agent1' appears top-right while the full homepage renders underneath; the address bar keeps the bogus /session/ or /proof/ URL. Toast and page compete: the URL claims a session, the content is the anonymous home. Whether the toast auto-dismisses (leaving zero explanation) was not determined. || The URL stays on the bogu…","Render a distinct not-found view for unmatched routes (keeping '/session/' and '/replay/' id-miss handling, which already show messages). || Render a dedicated 'session not found / expired' view (with Recent sessions from local history and a start-new CTA) and navigate the URL away from the bogus id. || Add a routed not-found view (with recovery CTAs) for /session//proof//replay misses, or redirect to / with the error persisted in state. || Serve /robots.txt (disallow /session and /proof at mini…","Catch-all route → toast or banner 'Page not found — returned home'. || Redirect to '/' after showing the toast (consistent with the catch-all) or persist a visible not-found banner. || After the toast, redirect the URL to / so location and content agree. || Add a two-line robots.txt route in the Worker. || Conditional message per route || Hide the stepper when replay load fails.",Unknown paths produce a visible not-found indication; known routes unaffected. || Bogus session/proof URLs end on a self-consistent state: either home at '/' or a not-found page; messaging persists until dismissed. || Bad deep links resolve to a stable not-found or home URL whose content matches the address bar. || GET /robots.txt returns text/plain directives; favicon returns an icon; neither SPA-redirects. || Each route's 404 names the correct …,Small.,Low-Medium.,A1-08 A1-11 A9-06 A9-07 A12-08 A16-12
MB-023,P2,high,Reproduced by multiple independent agents,Trust labelling,"/session/<uuid> (step 2 Prediction); /session/<uuid> (step 3 Test); /session/<uuid> (steps 1, 6)",Technological Implementation,Sample/live copy ambiguity: sample mode says 'Uploaded notebook'/'original upload'; 'Run the fair test' implies a live run though the result is a recorded fixture; AI-reframed 'Your current explanation' lacks a generated-by label,"Copy says 'Uploaded notebook evidence' and 'The original upload will not be overwritten'. Header badge 'INSTANT SAMPLE' mitigates but the component-level labels conflict. || Button says 'Run'; the fair-test card honestly says 'result not released' two lines above, and badges say 'Verified sample' / 'Result authority: Fixed kernel' - partial mitigation - but the verb promises execution that does not occur in this environment. || The reframing is shown as 'Your current explanation' with an Edit button; nothing marks it as machine-generated, while the product elsewhere stresses fixed-vs-generated…",Parametrize provenance copy by session mode (sample/live/replay). || Mode-aware CTA: sample/replay -> 'Reveal the verified result'; live -> 'Run the fair test'. || Label: 'CounterLab's restatement of your claim (AI-generated) - edit until it says what you mean.',Replace 'Uploaded' with 'Sample notebook evidence (instant demo)' when mode=sample. || Rename sample-mode CTA to 'See the verified result'. || Add a small 'AI restatement - editable' tag on the card.,No upload language in sample mode. || CTA verb matches session mode and bundle environment description. || Generated interpretation visually distinct from verbatim learner input.,XS,medium,A2-09 A2-10 A2-15
MB-024,P2,high,always,Comprehension,/ and /session/<id> (all steps); global,Potential Impact,"Jargon wall with no glossary (30+ undefined terms: entity leakage, evidence binding, Boundary Map, Subject Pack, Reasoning Diff, Proof Capsule, frozen verifier…); no non-expert scaffolding","30+ undefined terms; the flagship concept 'entity leakage' is never defined in plain language during the lesson that teaches it; 'the tutor' appears exactly once with no antecedent; history status 'REASONING DIFF ISSUED' is jargon. || No glossary or definitions anywhere; hints explain why steps exist, not what terms mean; home page targets notebook-owning practitioners","First-use inline definitions + a glossary; plain-language aliases ('fair test', 'who is in the test set') alongside technical terms. || Add tap-to-define glossary terms at first occurrence and a 60-second 'what is a train/test split?' primer card for self-identified novices",Add a one-sentence plain definition of entity leakage at step 1 and of 'verified' at first badge. || Glossary tooltips on split/ROC AUC/ablation/entity at first use,Core five terms defined at first use. || Each technical term has a definition affordance at first occurrence; home page exposes a novice path,M,medium,A2-11 A5-12
MB-025,P2,High,Reproduced by multiple independent agents,Input validation / routing,/ (claim box → 'Test this claim →') and /new; / (claim textarea) → /new; / (homepage claim textarea) -> /new; / → 'Test this claim →' → /new → 'Continue with my notebook'; /session/{id} — Step 1 Quest,Technological Implementation,"Home 'Test this claim' accepts arbitrary text, discards the claim, and routes into the dead live flow — contradicting 'unsupported evidence is refused, not guessed'","All text is accepted with zero validation and routed to the broken live flow; the user's words may be silently discarded; gibberish claims proceed through the sample lesson as if meaningful || Claim text vanishes; /new shows a notebook gate; continuing without upload leaves artifact 'Preparing artifact… / Pending intake / Support decision Pending' indefinitely — no timeout, no error, no refusal, no CTA; 'Compare two explanations' never enables; 0 events; no session created. The advertised refusal behavior has no reachable UX for text input. || Typed content is discarded without warning; no ser…","Route text-only claims to the sample lesson explicitly ('try the mechanics on our sample notebook') with the claim attached, or show 'live testing requires a supported notebook' before submit; persist drafts || Persist claim text into the session draft; add explicit 'notebook required to continue' and 'claim unsupported — here's why' states with copy. || Carry the draft claim into session state on navigation, or disable the CTA until a notebook is attached || Persist the draft claim through sess…","On home submit without attachment, label the /new page 'Live testing needs a notebook — or continue with the sample' and carry the claim through reliably || Carry the claim into the /new textarea and show a 'Waiting for notebook evidence' notice instead of 'Preparing artifact…'. || Persist draft to sessionStorage and prefill the session claim field || Carry the draft via sessionStorage and prefill…",No text-only submission dead-ends; claim text survives the whole funnel; unsupported inputs get a visible message || Text claims are never silently discarded; pending states resolve to a message within N seconds. || Homepage claim text survives into the created session || Homepage claim appears verbatim in the live Question step. || Disabled CTA always accompanied by the reason.,S-M,Medium-high (first impression),A4-06 A10-09 A12-10 A16-08 A16-09
MB-026,P2,high,always,Artifact quality,/proof/<id> (Download repaired notebook); /proof/session_<uuid>,Design,Repaired-notebook polish: patched cell keeps stale id 'random-row-split'; stored outputs match no UI-displayed run; verified diff has no red/green coding,"The patched cell still carries the id 'random-row-split' although its source now performs a customer GroupShuffleSplit (misleading provenance label inside the artifact). Its stored outputs read 'Customer group-split accuracy: 0.625 / ROC AUC: 0.662 / overlap 0' — a result that matches neither the session's customer group split (59.4%/0.641) nor its identity ablation (67.4%/0.725); that fourth condition is never displayed in any UI. || '-from sklearn.model_selection import train_test_split', '+from sklearn.model_selection import GroupShuffleSplit', context lines and '@@' hunk headers all render…","Rename the patched cell id (or add repair metadata), and display the patched-run metrics on the proof page with its own result hash (see A1-10). || Add per-line addition/deletion styling (tinted backgrounds + colored glyphs), keep monospace, add subtle line numbers if space allows.",Add a cell-level metadata flag counterlab.patched=true and surface the 0.625/0.662 run in the UI. || Color - lines #f87171-ish and + lines #34d399-ish (or tinted row backgrounds) based on the leading glyph.,Every number inside the shipped notebook is traceable to a UI-displayed verified run. || Added and removed lines are distinguishable by color alone in a screenshot.,XS,medium,A1-12 A6-06
MB-027,P2,high,Reproduced by multiple independent agents,State / continuity,"/ (return visit); /, /session/<id>, /proof/<id>; /session/<uuid>, /proof/<uuid>, /replay/<id> (Start over button); /session/{id} (Apply step), /new",Design,Session continuity gaps: no resume affordance on homepage; 'Start over' has no confirm and no in-app resume despite server-persisted sessions; URL-only persistence,"Homepage is byte-identical to the cold state; the completed session ('REASONING DIFF ISSUED') is reachable only by opening a (new) session and using Project & evidence > Recent sessions, or by bookmarking the /proof URL. || Clicking 'Start over' immediately navigates to / with no confirmation. The session still exists server-side (proof URL remains valid), but the app offers no link back to it; a user who clicked accidentally loses their place in the UI. || URLs restore state (verified) but nothing on the home page acknowledges prior work; one lesson exists; no review design || Journey step pe…","Render recent sessions with proof links on / when history exists. || Confirm before abandoning ('Start over? Your progress is saved - Resume later or discard'), and surface a Resume link. || Local-storage session list on home page + a delayed retrieval task ('a week later: does this new notebook leak?') || Persist in-step drafts server-side (or in sessionStorage) and restore on load.",Add a 'Resume last session' link on the homepage when an active session exists. || Add a one-step confirm dialog to Start over. || Show 'your recent sessions' from local storage on the home page || sessionStorage for radio/textarea drafts keyed by session id.,A returning learner reaches their proof in one click from /. || Start over requires confirmation and offers a path back to the existing session. || Returning learner sees prior sessions and a review prompt without needing the URL || Reload at Apply preserves selections.,S,medium,A2-14 A9-09 A5-13 A16-11
MB-028,P2,high,Reproduced by multiple independent agents,Pedagogy,"/proof/<id> (Reasoning Diff); /session/<id> (Theater tabs); /proof/<uuid>, /judge; /session/<id> (Step 2 Prediction; Step 4 result; /proof); /session/<id> (Step 5 Apply)",Potential Impact,Transfer-failure feedback reveals the answer instead of locating the misconception; failed attempts hidden from the learner-facing record; no confidence calibration use,"Single undifferentiated message that restates the rule so directly the retry is answer-copying; unlimited silent retries || Reasoning Diff shows 'Rule not yet tested -> passed'; failure exists only in the machine-readable event chain || Preset 72% anchors the estimate; after the falsification no screen references the sealed confidence; Reasoning Diff omits calibration || Confidence is captured at seal time (slider, default 72%) but no calibration score appears in the Reasoning Diff; no aggregate learning-outcome statistic is public. Impact rests on the mechanism's plausibility, not measured ef…","Emit per-invariant feedback from transferResult.checks (name the failed dimension, withhold the correct option); cap retries before revealing the answer || Render attempt history in the Reasoning Diff transfer row || Remove the preset (start blank), then show a calibration line post-result ('You sealed 85% confidence; the score fell 39 points') in result and proof || Add per-session calibration (Brier-style or overconfidence delta) into the Reasoning Diff; later aggregate anonymised stats on /ju…",Say which question failed without giving its answer || Append '(2 attempts)' to the transfer after-state || Add one calibration sentence on the result screen referencing the sealed value || Display 'You sealed 72% confidence; the computed result moved the metric 39.1 points — calibration note' line in the Reasoning Diff,"Mixed wrong answers produce feedback naming only the failed dimension; correct option strings absent from failure feedback || Proof page surfaces failed attempts when they occurred || Post-result UI contains the sealed confidence number and a calibration statement; slider has no default || ['Reasoning Diff contains a calibration indicator derived from the sealed confidence', '/judge shows at least one aggregate learning statistic or a dated plan …",S,medium,A5-10 A5-14 A5-04 A15-09
MB-029,P2,high,always,Pedagogy / completion,/proof/<uuid>; /session/<id> (Step 6 Repair),Design,"Learner never performs the repair: patch is system-generated; ending is a developer-dashboard proof page with a flat, no-onward-CTA finish","Repair is fully pre-built; the learner's only act is pressing verify || One summary line ('You can now distinguish...'), the Reasoning Diff table, technical material and downloads; the only onward actions are file downloads. The second supported concept (class imbalance) is never offered as a next step.","Insert a repair-choice gate (e.g., 'which column defines the entity?' or 'which of three diffs is safe?') verified before the real patch compiles || Add a consolidation block ('You believed X; the fair test showed Y; your rule is now Z') and CTAs: 'Try your own notebook', 'Next: class imbalance', 'Watch replay'.",Require selecting customer_id as the grouping entity from the schema list before 'Verify notebook patch' enables || Add two CTA buttons under the Reasoning Diff.,Repair cannot complete without a recorded learner repair decision; wrong choices produce corrective feedback || At least one onward learning action present on /proof.,M,medium,A5-11 A2-17
MB-030,P2,high,Reproduced by multiple independent agents,Visual design,"/ vs /judge, /session/*, /proof/*, /replay/*; /session/<uuid> step 3->4; /session/<uuid> step 4 theater; /session/<uuid> step 4; /judge dossier",Design,Split visual identity (dark chat homepage vs light editorial lesson/dossier feel like two products); unstaged instant reveal with no delta/direction encoding; no charts anywhere,"Homepage is near-black, sans-only, chat-app chrome (sidebar + textarea, like ChatGPT/Claude); every other surface is cream paper with serif display type and dossier/editorial chrome. No shared element except the logo and the navy accent; the transition between them is a hard cut. || The screenshot taken immediately after the click already shows the fully settled theater (instant swap, no observed suspense state); both numerals render at identical size and color with only a thin teal arrow between them; no chart exists anywhere in the product for this comparison. || Both numerals share size and…","Introduce shared tokens (bring the serif + cream into at least the homepage hero, or carry dark surfaces and lavender accents into a dark variant of the wizard header) so one design system spans both modes. || Add a short verification beat (kernel run status, ~1-2s or skippable) before the theater; add a minimal two-bar comparison visual with the group bar visually diminished. || Add a delta chip ('-39.1 points on unseen customers') and directional arrow styling; keep numerals neutral if red is …","Restyle the homepage hero headline in the editorial serif and add the cream/mint accents used elsewhere (or vice versa: give the wizard header a dark mode echo of the home sidebar). || Add a paired horizontal-bar graphic (98.5 vs 59.4) inside the theater, and a 400-800ms fade/scale-in on the theater. || Add the delta chip between the numerals. || CSS-only paired bars under the numerals.","A screenshot pair of / and /session shares identifiable typography and color tokens. || A visible transition state exists between 'Run the fair test' and the settled theater; the two results are distinguishable graphically, not only numerically. || The magnitude and direction of change are visible without reading body copy. || The 98.5 vs 59.4 comparison is perceivable graphically.",M,high,A6-14 A6-08 A6-17 A6-15
