observation_id,customer_id,tenure_months,monthly_charges,support_tickets,activity_days_30d,contract_type,churned
customer_0008_observation_00,customer_0008,65.19926000,81.44126900,3,9.40123800,annual,1
customer_0008_observation_01,customer_0008,65.88484700,81.78937800,2,10.82622900,annual,1
customer_0008_observation_02,customer_0008,66.70285700,79.33652100,2,10.21816600,annual,1
customer_0008_observation_03,customer_0008,67.23635900,81.19750100,3,10.20772900,annual,1
customer_0008_observation_04,customer_0008,67.64232600,81.62997900,1,9.79902600,annual,1
customer_0008_observation_05,customer_0008,68.50322200,79.10669000,3,10.69027700,annual,1
customer_0009_observation_00,customer_0009,27.57752700,72.04470300,2,25.48729600,monthly,1
customer_0009_observation_01,customer_0009,28.13257300,70.05965500,2,24.30882000,monthly,1
customer_0009_observation_02,customer_0009,26.86698900,71.40916500,1,26.77892800,monthly,1
customer_0009_observation_03,customer_0009,28.16620800,72.90943300,1,25.86005200,monthly,1
customer_0009_observation_04,customer_0009,28.90445400,70.48505100,2,25.83258600,monthly,1
customer_0009_observation_05,customer_0009,29.43085600,71.46565600,1,26.28595100,monthly,1
customer_0010_observation_00,customer_0010,6.51410700,82.38240200,1,16.17916200,monthly,0
customer_0010_observation_01,customer_0010,5.95929100,81.96483800,2,14.23677600,monthly,0
customer_0010_observation_02,customer_0010,6.69332900,83.73691500,0,15.85633900,monthly,0
customer_0010_observation_03,customer_0010,7.35283200,87.02751800,1,16.65632600,monthly,0
customer_0010_observation_04,customer_0010,7.08258100,84.13527400,0,13.84668600,monthly,0
customer_0010_observation_05,customer_0010,8.29537800,87.10046300,1,17.71832000,monthly,0
customer_0011_observation_00,customer_0011,12.99503800,85.78259700,1,18.51510100,monthly,1
customer_0011_observation_01,customer_0011,14.02963800,85.44631500,1,18.28990600,monthly,1
customer_0011_observation_02,customer_0011,12.91839100,87.34572400,2,16.44247700,monthly,1
customer_0011_observation_03,customer_0011,13.99761100,84.59182200,2,15.73834100,monthly,1
customer_0011_observation_04,customer_0011,14.97715400,90.89376700,2,16.79397200,monthly,1
customer_0011_observation_05,customer_0011,14.89006300,86.22622800,2,16.81975600,monthly,1
customer_0012_observation_00,customer_0012,21.59360300,77.62908100,0,16.60271300,annual,1
customer_0012_observation_01,customer_0012,21.97337000,78.04297600,0,21.29626600,annual,1
customer_0012_observation_02,customer_0012,21.68869500,79.27608700,0,16.18597900,annual,1
customer_0012_observation_03,customer_0012,22.84091600,78.77622600,0,18.22252400,annual,1
customer_0012_observation_04,customer_0012,22.25532700,78.33195100,0,19.57051200,annual,1
customer_0012_observation_05,customer_0012,22.29056500,81.78215300,0,18.04144700,annual,1
customer_0013_observation_00,customer_0013,50.79271100,66.38352900,2,7.41034500,annual,1
customer_0013_observation_01,customer_0013,50.29582200,69.40525400,2,6.59872100,annual,1
customer_0013_observation_02,customer_0013,50.48519800,68.08298600,2,8.39931900,annual,1
customer_0013_observation_03,customer_0013,50.74205600,68.01351200,2,8.49577600,annual,1
customer_0013_observation_04,customer_0013,51.24199000,67.87518100,2,5.62454000,annual,1
customer_0013_observation_05,customer_0013,52.53776700,67.57882000,2,8.74700600,annual,1
customer_0014_observation_00,customer_0014,37.58401900,57.01135300,0,13.18765200,annual,0
customer_0014_observation_01,customer_0014,38.21765200,58.00517900,0,16.14821500,annual,0
customer_0014_observation_02,customer_0014,38.31591700,59.89038900,1,13.00085000,annual,0
customer_0014_observation_03,customer_0014,39.54926900,56.17181900,0,11.71670200,annual,0
customer_0014_observation_04,customer_0014,38.76319700,58.49440100,0,14.02310800,annual,0
customer_0014_observation_05,customer_0014,41.12501400,55.62382300,0,15.20287800,annual,0
customer_0015_observation_00,customer_0015,68.08183400,69.42076000,2,21.04653200,annual,1
customer_0015_observation_01,customer_0015,68.82021900,71.00021700,1,20.65545300,annual,1
customer_0015_observation_02,customer_0015,68.86673800,75.59600300,2,22.67923300,annual,1
customer_0015_observation_03,customer_0015,70.20348000,72.79336600,2,22.71969400,annual,1
customer_0015_observation_04,customer_0015,69.56036300,76.60314000,2,20.85858700,annual,1
customer_0015_observation_05,customer_0015,70.83176400,73.01513200,2,22.47774500,annual,1
customer_0016_observation_00,customer_0016,12.18758200,83.60320500,3,15.79505600,two_year,0
customer_0016_observation_01,customer_0016,12.66688100,81.62764000,3,14.99511500,two_year,0
customer_0016_observation_02,customer_0016,11.70385700,80.56676900,3,17.72826800,two_year,0
customer_0016_observation_03,customer_0016,12.39096500,82.38195900,3,14.90564800,two_year,0
customer_0016_observation_04,customer_0016,12.40560300,83.70759800,2,15.11155600,two_year,0
customer_0016_observation_05,customer_0016,13.77516900,82.20139800,3,16.02525600,two_year,0
customer_0017_observation_00,customer_0017,27.63104200,86.55923000,2,14.33106100,two_year,1
customer_0017_observation_01,customer_0017,26.92125400,90.71739900,1,14.25822900,two_year,1
customer_0017_observation_02,customer_0017,28.10442800,85.15800600,2,12.63653900,two_year,1
customer_0017_observation_03,customer_0017,29.62433000,89.33255500,1,14.55066000,two_year,1
customer_0017_observation_04,customer_0017,29.17507300,88.26638600,3,14.83513100,two_year,1
customer_0017_observation_05,customer_0017,30.39580800,91.96842700,1,14.10532000,two_year,1
customer_0018_observation_00,customer_0018,24.58930000,109.61682800,4,19.50322900,monthly,1
customer_0018_observation_01,customer_0018,25.62450000,110.07115800,4,18.71136100,monthly,1
customer_0018_observation_02,customer_0018,25.67521800,112.72453500,4,19.16770300,monthly,1
customer_0018_observation_03,customer_0018,26.46732800,107.26375500,3,18.06605800,monthly,1
customer_0018_observation_04,customer_0018,25.50129500,110.26351100,5,20.68864600,monthly,1
customer_0018_observation_05,customer_0018,27.32072300,109.18128100,3,21.67824300,monthly,1
customer_0019_observation_00,customer_0019,19.00799300,52.94358600,2,12.32431100,two_year,1
customer_0019_observation_01,customer_0019,18.85625400,57.60619000,1,12.14082500,two_year,1
customer_0019_observation_02,customer_0019,18.39004800,57.99141400,1,13.15930500,two_year,1
customer_0019_observation_03,customer_0019,18.65236100,56.10351200,1,13.55699400,two_year,1
customer_0019_observation_04,customer_0019,20.01906600,55.44936200,2,11.01029100,two_year,1
customer_0019_observation_05,customer_0019,19.30264800,57.49502700,1,10.69592300,two_year,1
customer_0020_observation_00,customer_0020,50.80519100,87.27655000,4,23.57589700,monthly,1
customer_0020_observation_01,customer_0020,51.13633700,92.91184300,3,19.02436800,monthly,1
customer_0020_observation_02,customer_0020,51.82034600,92.92382500,3,18.33734800,monthly,1
customer_0020_observation_03,customer_0020,51.93023000,93.65502000,2,21.16825100,monthly,1
customer_0020_observation_04,customer_0020,53.20640100,90.61500200,4,21.55192900,monthly,1
customer_0020_observation_05,customer_0020,51.74535200,94.21858800,4,21.02672100,monthly,1
customer_0021_observation_00,customer_0021,47.26474100,65.52270300,2,21.87660600,annual,0
customer_0021_observation_01,customer_0021,48.31324300,61.15895900,3,21.11724900,annual,0
customer_0021_observation_02,customer_0021,48.53412700,60.17608400,3,20.92158300,annual,0
customer_0021_observation_03,customer_0021,48.66062600,61.31830300,3,21.75153500,annual,0
customer_0021_observation_04,customer_0021,48.86542600,61.32931200,2,20.64111400,annual,0
customer_0021_observation_05,customer_0021,49.21082200,63.47540700,3,19.88074900,annual,0
customer_0022_observation_00,customer_0022,68.43624400,81.74978300,0,21.62918200,annual,0
customer_0022_observation_01,customer_0022,68.52127900,87.23187400,0,21.27298800,annual,0
customer_0022_observation_02,customer_0022,70.19004500,86.79904400,0,20.29871600,annual,0
customer_0022_observation_03,customer_0022,69.26499300,86.79381600,1,20.38990700,annual,0
customer_0022_observation_04,customer_0022,69.51015400,83.09407300,0,20.33052400,annual,0
customer_0022_observation_05,customer_0022,70.98103700,85.60397100,0,22.05566500,annual,0
customer_0023_observation_00,customer_0023,18.41402500,80.16870400,2,19.50076700,two_year,0
customer_0023_observation_01,customer_0023,17.58110400,79.74994000,2,18.44981300,two_year,0
customer_0023_observation_02,customer_0023,17.81640500,78.54864300,2,19.58117200,two_year,0
customer_0023_observation_03,customer_0023,18.95788100,82.16232700,1,20.12424100,two_year,0
customer_0023_observation_04,customer_0023,19.39017800,77.34399100,3,18.53149800,two_year,0
customer_0023_observation_05,customer_0023,19.58775100,79.40129600,2,19.69056800,two_year,0
customer_0024_observation_00,customer_0024,65.84019000,67.76468500,1,15.20093900,monthly,0
customer_0024_observation_01,customer_0024,66.39225500,62.68123300,0,16.13781500,monthly,0
customer_0024_observation_02,customer_0024,67.85882000,66.38863400,0,13.94346400,monthly,0
customer_0024_observation_03,customer_0024,68.43284100,71.75122300,0,14.66235700,monthly,0
customer_0024_observation_04,customer_0024,68.27070500,67.91021900,0,13.90166200,monthly,0
customer_0024_observation_05,customer_0024,68.41992600,65.55231100,0,14.68970700,monthly,0
customer_0025_observation_00,customer_0025,5.92134700,75.05864500,2,20.99996900,annual,0
customer_0025_observation_01,customer_0025,6.40203600,78.83567500,2,17.35911100,annual,1
customer_0025_observation_02,customer_0025,7.42949500,79.77579700,2,19.51300900,annual,1
customer_0025_observation_03,customer_0025,6.28288800,76.77145700,1,16.99652700,annual,1
customer_0025_observation_04,customer_0025,8.39295700,79.52732400,2,18.45430900,annual,1
customer_0025_observation_05,customer_0025,7.77440900,78.80310700,1,17.23482700,annual,1
customer_0026_observation_00,customer_0026,39.36114000,85.10150800,1,10.84171800,two_year,0
customer_0026_observation_01,customer_0026,39.04388500,86.43905600,1,8.08071100,two_year,0
customer_0026_observation_02,customer_0026,40.06636700,87.11677000,1,9.05797300,two_year,0
customer_0026_observation_03,customer_0026,40.54590000,91.05483000,0,10.17656200,two_year,0
customer_0026_observation_04,customer_0026,40.95840800,82.78752600,1,10.43043800,two_year,0
customer_0026_observation_05,customer_0026,40.80257300,85.43152900,1,10.39453400,two_year,0
customer_0027_observation_00,customer_0027,27.17404600,72.37609800,0,14.86220200,annual,1
customer_0027_observation_01,customer_0027,27.08224800,73.34274100,1,14.62581700,annual,1
customer_0027_observation_02,customer_0027,27.79101500,74.29742700,0,11.62283900,annual,1
customer_0027_observation_03,customer_0027,28.50581600,72.65333900,0,10.86821800,annual,1
customer_0027_observation_04,customer_0027,29.50380700,71.73258300,0,14.25965600,annual,1
customer_0027_observation_05,customer_0027,27.86126900,72.85830600,0,14.06044500,annual,1
customer_0028_observation_00,customer_0028,27.73785400,85.33195500,0,15.45358900,monthly,0
customer_0028_observation_01,customer_0028,29.13733200,89.32085800,0,16.52010300,monthly,0
customer_0028_observation_02,customer_0028,30.45896900,84.34315400,0,15.81592800,monthly,0
customer_0028_observation_03,customer_0028,30.03183700,87.40119900,1,16.33471800,monthly,0
customer_0028_observation_04,customer_0028,31.57429500,85.70483400,1,16.41455000,monthly,0
customer_0028_observation_05,customer_0028,31.36017600,84.56221000,1,17.81959200,monthly,0
customer_0029_observation_00,customer_0029,47.46041800,84.72466700,1,20.07042300,monthly,1
customer_0029_observation_01,customer_0029,46.87118900,85.40186400,1,18.86082900,monthly,1
customer_0029_observation_02,customer_0029,49.34251100,86.00548000,2,18.42400900,monthly,1
customer_0029_observation_03,customer_0029,49.62420800,86.46036100,0,17.88523200,monthly,1
customer_0029_observation_04,customer_0029,50.11125300,88.19071700,1,17.74753600,monthly,1
customer_0029_observation_05,customer_0029,50.38131700,83.78525300,1,16.58077400,monthly,1
customer_0030_observation_00,customer_0030,24.81208600,90.40753500,0,17.40600100,monthly,0
customer_0030_observation_01,customer_0030,26.25029800,91.66652200,0,19.93318700,monthly,0
customer_0030_observation_02,customer_0030,26.79375800,90.58838200,0,22.02561000,monthly,0
customer_0030_observation_03,customer_0030,26.71474600,95.05738700,0,21.49122500,monthly,0
customer_0030_observation_04,customer_0030,28.00937000,94.61295500,0,20.68280800,monthly,0
customer_0030_observation_05,customer_0030,29.25941400,89.82437000,0,19.86290600,monthly,0
customer_0031_observation_00,customer_0031,16.39142800,89.52082000,2,10.26515500,annual,0
customer_0031_observation_01,customer_0031,17.06549600,88.49975100,2,11.04093500,annual,0
customer_0031_observation_02,customer_0031,17.58764900,87.08148400,1,12.65589400,annual,0
customer_0031_observation_03,customer_0031,17.36180300,86.15459700,2,11.43469700,annual,0
customer_0031_observation_04,customer_0031,17.31619500,88.36261600,1,11.05154800,annual,0
customer_0031_observation_05,customer_0031,19.54939900,87.66061600,2,10.77487100,annual,0
customer_0032_observation_00,customer_0032,36.35857800,51.66128300,3,20.36050300,annual,1
customer_0032_observation_01,customer_0032,36.00960900,56.19697300,3,23.21358200,annual,1
customer_0032_observation_02,customer_0032,37.34405200,51.69329100,3,22.99330800,annual,1
customer_0032_observation_03,customer_0032,38.05576000,54.98000000,3,22.72797900,annual,1
customer_0032_observation_04,customer_0032,37.52331800,53.64621900,2,21.90527500,annual,0
customer_0032_observation_05,customer_0032,38.43218200,55.51003200,3,20.90565600,annual,1
customer_0033_observation_00,customer_0033,44.53566100,123.12550400,4,15.07045700,monthly,1
customer_0033_observation_01,customer_0033,45.24733300,120.96522000,3,14.46671900,monthly,1
customer_0033_observation_02,customer_0033,45.23567700,121.16145000,2,13.35280700,monthly,1
customer_0033_observation_03,customer_0033,44.22403100,119.17218600,2,14.83924400,monthly,1
customer_0033_observation_04,customer_0033,45.81641000,117.65846600,3,12.72988200,monthly,1
customer_0033_observation_05,customer_0033,47.50384600,121.44040900,3,12.74538300,monthly,1
customer_0034_observation_00,customer_0034,11.36258700,100.74214400,1,16.04024100,monthly,0
customer_0034_observation_01,customer_0034,11.57551300,96.02737400,1,15.58943900,monthly,0
customer_0034_observation_02,customer_0034,12.07354000,93.90578900,1,15.75851600,monthly,0
customer_0034_observation_03,customer_0034,14.27524000,95.95293900,1,15.33975200,monthly,0
customer_0034_observation_04,customer_0034,12.78420800,91.11280100,1,16.37317000,monthly,0
customer_0034_observation_05,customer_0034,15.32275300,94.66814800,2,18.08571400,monthly,0
customer_0035_observation_00,customer_0035,35.89880100,46.64359600,0,7.12853700,monthly,0
customer_0035_observation_01,customer_0035,39.01503300,42.69162500,0,10.76005200,monthly,0
customer_0035_observation_02,customer_0035,37.28258200,44.25158900,0,7.18160600,monthly,0
customer_0035_observation_03,customer_0035,38.63232200,42.33439100,0,9.46735500,monthly,0
customer_0035_observation_04,customer_0035,37.34113700,41.94983600,0,7.59677600,monthly,0
customer_0035_observation_05,customer_0035,38.78071700,44.69605900,0,8.98542900,monthly,0
customer_0036_observation_00,customer_0036,29.58342600,70.32050200,5,21.51222600,two_year,1
customer_0036_observation_01,customer_0036,29.65827900,74.07268300,5,22.03950600,two_year,1
customer_0036_observation_02,customer_0036,30.65404600,71.94090700,5,20.37052500,two_year,1
customer_0036_observation_03,customer_0036,29.38144000,75.39779900,4,20.08922700,two_year,1
customer_0036_observation_04,customer_0036,31.28353900,77.18560800,4,20.45812600,two_year,1
customer_0036_observation_05,customer_0036,32.01629900,79.91376000,4,19.62817200,two_year,1
customer_0037_observation_00,customer_0037,71.65160300,74.56779400,5,15.30375100,annual,1
customer_0037_observation_01,customer_0037,71.93639800,74.78986900,5,14.38333500,annual,1
customer_0037_observation_02,customer_0037,72.27926200,72.41609100,5,16.64937100,annual,1
customer_0037_observation_03,customer_0037,72.02966200,73.76278100,6,16.64063000,annual,1
customer_0037_observation_04,customer_0037,73.89090400,71.41362800,5,17.87658500,annual,1
customer_0037_observation_05,customer_0037,73.84773300,78.54380900,4,13.62392600,annual,1
customer_0038_observation_00,customer_0038,50.22031800,74.47244600,0,12.69098900,two_year,1
customer_0038_observation_01,customer_0038,50.80792600,71.42117900,0,12.07929700,two_year,1
customer_0038_observation_02,customer_0038,50.61973800,75.55777900,1,12.62223200,two_year,1
customer_0038_observation_03,customer_0038,50.73922300,71.81017500,0,11.19722800,two_year,1
customer_0038_observation_04,customer_0038,52.33832400,76.75845600,1,10.15397200,two_year,1
customer_0038_observation_05,customer_0038,52.19969300,71.87810300,0,12.01603900,two_year,1
customer_0039_observation_00,customer_0039,30.63400000,70.66538400,4,24.84353800,monthly,1
customer_0039_observation_01,customer_0039,30.80703200,65.42103200,4,22.78313700,monthly,1
customer_0039_observation_02,customer_0039,30.63487200,71.42308100,4,23.34760200,monthly,1
customer_0039_observation_03,customer_0039,31.49457800,64.21112500,3,22.73413000,monthly,1
customer_0039_observation_04,customer_0039,31.87073500,70.44533300,4,22.12000300,monthly,1
customer_0039_observation_05,customer_0039,33.21908800,70.11132200,3,25.05501200,monthly,1
customer_0040_observation_00,customer_0040,8.35394000,58.28684500,3,18.53710300,monthly,0
customer_0040_observation_01,customer_0040,9.40928900,57.02514300,3,19.31696700,monthly,0
customer_0040_observation_02,customer_0040,9.30634200,53.88116000,2,16.64700400,monthly,0
customer_0040_observation_03,customer_0040,9.83737700,61.46344600,3,19.55835100,monthly,0
customer_0040_observation_04,customer_0040,10.79108800,56.40085200,2,18.27614100,monthly,0
customer_0040_observation_05,customer_0040,11.10076800,56.47567900,4,19.75596200,monthly,0
customer_0041_observation_00,customer_0041,49.88703100,66.12074400,3,10.96819300,monthly,1
customer_0041_observation_01,customer_0041,49.06584900,69.84140600,4,12.19786600,monthly,1
customer_0041_observation_02,customer_0041,50.71771800,68.03868200,3,10.94991000,monthly,1
customer_0041_observation_03,customer_0041,48.71207400,66.77254300,3,11.93712100,monthly,1
customer_0041_observation_04,customer_0041,50.59645600,66.87309500,4,13.45151000,monthly,1
customer_0041_observation_05,customer_0041,51.04720800,65.33662800,3,10.50911500,monthly,1
customer_0042_observation_00,customer_0042,57.48407800,75.56524800,1,8.84855800,monthly,1
customer_0042_observation_01,customer_0042,58.27580500,82.32884900,1,11.10106400,monthly,1
customer_0042_observation_02,customer_0042,58.39331900,82.09122500,0,11.60383100,monthly,1
customer_0042_observation_03,customer_0042,58.63066800,79.59476900,0,9.61082600,monthly,1
customer_0042_observation_04,customer_0042,59.70639600,81.78166800,0,12.80108000,monthly,1
customer_0042_observation_05,customer_0042,60.67634800,77.90068700,0,10.72597100,monthly,1
customer_0043_observation_00,customer_0043,45.96804900,103.81840700,2,16.57220400,monthly,1
customer_0043_observation_01,customer_0043,45.72112400,100.00535600,4,15.05389600,monthly,1
customer_0043_observation_02,customer_0043,46.20224400,97.37936800,3,14.16657100,monthly,1
customer_0043_observation_03,customer_0043,46.73605600,97.54186600,4,12.40186500,monthly,1
customer_0043_observation_04,customer_0043,47.73202700,99.09462600,2,12.44547700,monthly,1
customer_0043_observation_05,customer_0043,47.74756000,98.52596400,3,14.12300100,monthly,1
customer_0044_observation_00,customer_0044,42.47395100,53.28487600,3,15.45589300,monthly,1
customer_0044_observation_01,customer_0044,41.86155000,52.16671800,3,17.01615400,monthly,1
customer_0044_observation_02,customer_0044,44.14348900,53.30342800,3,17.13277500,monthly,1
customer_0044_observation_03,customer_0044,42.56647200,48.90010000,4,18.03387600,monthly,1
customer_0044_observation_04,customer_0044,44.19767900,52.14938000,3,17.29213700,monthly,1
customer_0044_observation_05,customer_0044,44.82910000,53.30981900,2,19.74655000,monthly,1
customer_0045_observation_00,customer_0045,20.79213300,96.30424900,3,14.26089600,monthly,1
customer_0045_observation_01,customer_0045,20.42791600,97.14694800,2,13.86697800,monthly,1
customer_0045_observation_02,customer_0045,21.48365000,95.49060700,2,13.48451000,monthly,1
customer_0045_observation_03,customer_0045,22.05952400,100.42865800,2,12.06977200,monthly,1
customer_0045_observation_04,customer_0045,22.40768300,97.24941300,1,12.26415000,monthly,1
customer_0045_observation_05,customer_0045,22.37919600,96.57770600,2,13.28728100,monthly,1
customer_0046_observation_00,customer_0046,51.83645800,70.66047700,2,18.03813100,monthly,0
customer_0046_observation_01,customer_0046,52.51302000,64.30518900,3,22.68260300,monthly,0
customer_0046_observation_02,customer_0046,53.14005700,66.93947100,1,22.05642900,monthly,0
customer_0046_observation_03,customer_0046,53.37764500,65.76418200,2,22.62779300,monthly,0
customer_0046_observation_04,customer_0046,52.73137500,68.84872200,2,20.68465900,monthly,0
customer_0046_observation_05,customer_0046,53.63226400,68.28206000,3,23.18737100,monthly,0
customer_0047_observation_00,customer_0047,42.60725400,73.63006300,1,14.82030900,two_year,0
customer_0047_observation_01,customer_0047,43.16028600,70.45161400,1,14.95131900,two_year,0
customer_0047_observation_02,customer_0047,44.08248200,74.76948800,1,16.80512000,two_year,0
customer_0047_observation_03,customer_0047,45.39699200,73.96580000,2,14.42110200,two_year,0
customer_0047_observation_04,customer_0047,44.33541700,70.60308100,1,14.36179100,two_year,0
customer_0047_observation_05,customer_0047,44.69982300,72.30421700,2,14.76378700,two_year,0
customer_0048_observation_00,customer_0048,7.69904400,78.59791200,4,16.65053500,monthly,1
customer_0048_observation_01,customer_0048,7.74600000,83.96784900,4,13.84658000,monthly,1
customer_0048_observation_02,customer_0048,8.33856600,84.51251500,4,14.92376000,monthly,1
customer_0048_observation_03,customer_0048,8.13555600,85.23600000,5,12.90430100,monthly,1
customer_0048_observation_04,customer_0048,8.72029600,82.12754300,4,14.79074400,monthly,1
customer_0048_observation_05,customer_0048,8.88136900,79.13129300,6,14.09590400,monthly,1
customer_0049_observation_00,customer_0049,6.44958400,97.60563800,2,10.66191300,monthly,1
customer_0049_observation_01,customer_0049,6.11164300,100.14523100,2,11.10854800,monthly,1
customer_0049_observation_02,customer_0049,7.37803500,99.75521000,1,11.65525900,monthly,1
customer_0049_observation_03,customer_0049,6.61616200,92.96997000,1,11.67634400,monthly,1
customer_0049_observation_04,customer_0049,7.54236200,98.75148700,1,11.41612300,monthly,1
customer_0049_observation_05,customer_0049,8.44295800,94.62849600,1,11.86624700,monthly,1
customer_0050_observation_00,customer_0050,4.12932300,74.60976300,2,21.30473200,annual,1
customer_0050_observation_01,customer_0050,4.38425300,71.04055400,2,22.83674700,annual,1
customer_0050_observation_02,customer_0050,4.51488800,74.10316700,2,19.41962200,annual,1
customer_0050_observation_03,customer_0050,6.33844200,77.11935800,3,20.05733000,annual,1
customer_0050_observation_04,customer_0050,5.99136500,70.49882600,2,20.93964000,annual,1
customer_0050_observation_05,customer_0050,6.39127700,73.20976800,2,22.85202200,annual,1
customer_0051_observation_00,customer_0051,8.72630900,76.48679400,0,24.47336600,annual,0
customer_0051_observation_01,customer_0051,8.58833500,69.78842500,0,25.09430800,annual,0
customer_0051_observation_02,customer_0051,8.75308000,73.01221500,0,24.81172400,annual,0
customer_0051_observation_03,customer_0051,9.57118700,71.60604500,0,21.46745800,annual,0
customer_0051_observation_04,customer_0051,11.97159500,69.59653300,0,23.52870400,annual,0
customer_0051_observation_05,customer_0051,9.69168600,72.95407700,0,25.62268100,annual,0
customer_0052_observation_00,customer_0052,57.00240000,55.55867800,5,9.89729800,monthly,1
customer_0052_observation_01,customer_0052,56.68214700,56.32309300,5,7.07696100,monthly,1
customer_0052_observation_02,customer_0052,57.67447300,55.36079500,6,6.70453400,monthly,1
customer_0052_observation_03,customer_0052,59.03795200,52.92294700,6,10.94352900,monthly,1
customer_0052_observation_04,customer_0052,59.17947400,53.54097900,5,11.10637400,monthly,1
customer_0052_observation_05,customer_0052,59.08253900,52.32692400,5,7.82502700,monthly,1
customer_0053_observation_00,customer_0053,65.41595200,94.52632300,3,19.40857200,monthly,1
customer_0053_observation_01,customer_0053,65.44797500,94.49381700,2,19.83940900,monthly,1
customer_0053_observation_02,customer_0053,66.66315600,93.76453100,1,19.06931700,monthly,1
customer_0053_observation_03,customer_0053,66.77228900,94.10297800,2,17.93593600,monthly,1
customer_0053_observation_04,customer_0053,67.83555000,95.37512900,2,16.35967900,monthly,1
customer_0053_observation_05,customer_0053,67.41846500,97.17263400,1,17.92206200,monthly,1
customer_0054_observation_00,customer_0054,42.47367200,32.88337800,5,12.84271500,annual,0
