"Issue ID","Title","Severity","Confidence","Reproducibility","Category","Affected route or component","Affected user","Affected Devpost criterion","Environment","Prerequisites","Reproduction steps","Expected behaviour","Actual behaviour","Evidence","Console or network evidence","Source-code evidence","Root-cause hypothesis","Learner impact","Judge impact","Trust or integrity impact","Recommended correction","Smallest acceptable fix","Acceptance criteria","Regression test","Dependencies","Estimated effort","Score leverage","Related issues"
"CL-011","The sample reflection begins with the complete correct rule and already passes its gate","P2 — Material quality issue","confirmed","always","pedagogy","sample revision/reflection stage","learner using the fastest lesson","Design and Potential Impact","public sample source/current UI","Reach reflection after result","Inspect initial reflection text and continuation condition.","Learner must interpret the evidence in their own words or make a meaningful explicit choice.","The full correct leakage rule is prefilled and exceeds the 20-character progression gate.","Verified in source and red-team confirmed; apps/web/src/App.tsx default reflection and length gate.","None.","defaultLeakageReflection initializes the editor; gate tests length rather than learner action/meaning.","Helpful scaffolding became an answer key and a mechanical gate.","Correction can be mistaken for understanding; the learner can click through.","Weakens the pedagogical claim of active rule revision.","Completion implies more agency than occurred.","Start blank or with selectable sentence stems and require one explicit evidence-linked change.","Remove the full answer; require one learner selection/edit and show supportive feedback without shaming.","Untouched default cannot advance; a valid short learner choice can; wrong/uncertain answers receive useful feedback without revealing all reasoning immediately.","UI tests for untouched, blank, short, wrong, and valid reflection states.","Copy and validation only.","S","medium","CL-005"
"CL-012","Command-palette focus escapes the dialog and is not restored to its invoker","P2 — Material quality issue","high","always","accessibility","global command palette/modal","keyboard and screen-reader users","Design","Chromium keyboard audit at public desktop viewport","Keyboard-only navigation","Open the command palette; tab beyond its controls; press Escape; inspect active element.","Focus is contained while open and returns to the invoking control when closed.","Focus can escape the dialog; Escape leaves focus on the document body.","Observed live/manual in evidence/test-results/ux-browser-runtime/keyboard-and-interaction-audit.json and 06_DESIGN_ACCESSIBILITY_RESPONSIVENESS.md.","No errors; behavioral accessibility defect.","Dialog focus management lacks a complete trap/restoration path.","Visual modal behavior was implemented without a tested focus lifecycle.","Keyboard users can lose context or interact behind the overlay.","Noticeable consumer-product/accessibility incompleteness.","None.","Implement standards-based initial focus, tab containment, Escape close, and invoker restoration.","One focus-trap utility or native dialog behavior plus stored invoker reference.","Tab/Shift+Tab cycle only inside; Escape closes; focus returns to invoker; screen-reader name/description remains correct.","Playwright keyboard assertions for open, wrap, close, and restoration.","None.","S","medium","CL-014"
"CL-013","Legacy replay contains multiple below-threshold text contrast pairs","P2 — Material quality issue","confirmed","always","accessibility","/replay/leakage-01 labels and secondary text","low-vision learners and judges","Design","public Chromium; computed color audit","Open legacy replay","Measure affected text/background pairs in replay.","Normal text meets WCAG AA 4.5:1; large text meets 3:1.","Recorded pairs include 3.59:1, 3.71:1, 4.17:1, and 4.32:1 for normal text.","Observed live/automated then manually inspected in 06_DESIGN_ACCESSIBILITY_RESPONSIVENESS.md and UX audit JSON.","None.","Legacy replay color tokens/components use muted foregrounds on tinted surfaces.","New theme tokens did not fully cover legacy replay surfaces.","Reduced legibility and fatigue.","Visible polish/accessibility deduction in the longest replay path.","None.","Adjust only the affected semantic tokens and verify all states.","Raise each failing normal-text pair to at least 4.5:1 without flattening authority/status hierarchy.","Computed audit passes AA in light/dark/status states; manual screenshots retain hierarchy.","Token contrast unit checks plus browser computed-style scan.","Theme/token owners.","XS","medium","CL-004"
"CL-014","Mobile first view hides alternate modes behind a generic Explore control","P2 — Material quality issue","confirmed","always","UX","landing navigation at 375×812 and 390×844","mobile learner and mobile judge","Design","public Chromium at representative phone viewports","Clean landing","Load / at 375×812; inventory visible primary/secondary paths before opening Explore.","Sample, replay, and live/guided choices are discoverable with honest mode labels and one dominant CTA.","Alternate modes are compressed behind “Explore,” weakening mode discoverability and the no-notebook escape from CL-003.","Observed live screenshots/DOM inventory in evidence/test-results/ux-browser-runtime/viewport-and-dom-audit.json.","None; no horizontal overflow was found.","Responsive navigation collapses mode choices at mobile breakpoint.","Header simplification removed decision context rather than reprioritizing it.","More hunting and uncertainty about sample/replay/live availability.","First-minute product comprehension is weaker on mobile.","Mode authority labels arrive later than the choice.","Keep one compact secondary “Try a sample” action visible and rename Explore to communicate modes.","Visible sample link plus “Modes” control with sample/replay/live labels and status.","At 375×812 the user can identify primary action, sample, and mode status without opening more than one disclosure; no overflow/tiny targets.","Mobile screenshot and accessible-name assertions at 375×812 and 390×844.","CL-003 copy/routing decision.","S","medium","CL-003; CL-012"
"CL-015","Missing and unknown deep links recover silently, while previous-session recovery is hidden","P2 — Material quality issue","high","always","UX","missing session/proof routes, unknown routes, landing resume discovery","returning learner or judge following a stale link","Design","public clean and returning browser states","Load nonexistent session/proof and an unknown route; inspect landing","Direct-load each invalid route; observe document/API statuses and recovery guidance; return to landing with stored session history.","Durable not-found/recovery page explains the state, offers safe next steps, and exposes recent resumable work on landing.","Missing session/proof renders shell 200 plus API 404 and a transient toast over landing; unknown routes silently show landing; recent sessions are only inside an in-session drawer.","Observed live in route JSON/screenshots and verified in source; 02_LIVE_ROUTE_AND_STATE_MAP.md.","Expected 404 resource errors appear for deliberate missing session/proof; unknown route has no distinct HTTP/document state.","Client fallback routes converge on landing and resume affordance is scoped to active-session UI.","SPA recovery optimized for continuity but erased route-specific explanation.","Lost confidence and difficulty resuming proof.","Deep links in submission/demo can fail opaquely.","A missing proof should never look like a generic fresh start.","Add explicit 404/session-unavailable/proof-unavailable states and a landing “Recent work” surface.","Persistent inline recovery card naming the failed resource, retry/back/home actions, and up to three local recent sessions with mode/status.","Each bad deep link is distinguishable; no false proof content appears; browser back/forward is stable; resume clears stale entries gracefully.","Playwright tests for missing session/proof/unknown, refresh, back-forward, and recent-session resume.","Routing and local-session index.","S","medium","CL-016"
"CL-016","“Start over” can abandon an active backend job without invoking cancellation","P2 — Material quality issue","high","always","reliability","active journey reset/start-over action and hosted job lifecycle","learner restarting during compile/run","Technological Implementation and Design","current frontend/backend source; live cancellation not invoked in audit","Active job/session","Trace Start over handler while a checkpoint references an active job; compare with cancel endpoint.","User receives a clear choice and active work is cancelled/idempotently detached before local state is cleared.","The reset clears the active checkpoint without calling the available cancel endpoint.","Verified in source and journey audit; runtime production effect unverified because no state-changing job was created.","No production reset test was performed.","Frontend reset path and Worker cancellation route are not connected.","Reset was treated as local navigation rather than a distributed lifecycle transition.","Orphaned work, confusing later events, or needless wait/cost.","Refresh/recovery story feels incomplete.","Late results must not bind to a new journey after reset.","Confirm reset during active work, send idempotent cancel, wait for terminal acknowledgement or safely detach lineage, then clear.","Best-effort cancel with typed timeout and lineage invalidation so late callbacks cannot advance cleared state.","Start over produces one cancel; duplicate reset is safe; late events are ignored; UI explains outcome; no new session inherits old authority.","Worker/UI integration test for cancel success, timeout, already-terminal, duplicate, offline, and late callback.","Existing cancellation API and state lineage.","M","medium","CL-002; CL-015"
"CL-017","Multipart intake can buffer an absent-length upload before enforcing notebook size","P2 — Material quality issue","high","always","security","notebook upload parser","operators and concurrent learners","Technological Implementation","Worker source; no oversized production request attempted","Multipart request without trustworthy Content-Length","Trace request parsing order from headers through formData() to file.size validation.","Streaming or bounded-body enforcement rejects oversized input before buffering it.","When content length is absent, formData() may buffer the body before the file-size check.","Verified in source in Worker intake and reported in 08_AI_CODEX_VERIFICATION_SECURITY.md; exploitability/edge behavior is inferred, not load-tested.","No denial-of-service or oversized upload was sent.","Size validation follows multipart materialization.","Logical artifact-size validation was implemented without transport-level body bounds.","Potential memory pressure or rejected legitimate work during abuse.","Production-hardening concern, secondary to core journey proof.","No evidence-authority bypass.","Enforce a trusted edge/body cap and bounded streaming parser before materialization.","Reject absent/oversized lengths at edge where possible and impose a hard request-body limit with typed 413.","Safe tests show oversized declared and chunked/unknown-length requests terminate before full buffering; valid maximum succeeds.","Worker integration tests for exact max, max+1, absent length, wrong MIME, early disconnect, and multipart overhead.","Cloudflare request-body semantics and test harness.","M","medium","CL-007"
"CL-018","Outbound artifact sanitization is heuristic and does not enforce declared privacy classes","P2 — Material quality issue","high","always","security","approved GPT-5.6 packet preview and notebook evidence extraction","learner uploading a notebook with personal identifiers","Technological Implementation and Potential Impact","current source/tests; no private data used","Supported notebook containing common PII-like text/fields","Inspect sanitizer patterns and privacyClass handling; construct synthetic email/phone/identifier examples in local tests.","Product accurately states limits, suppresses declared sensitive fields, and makes disclosure explicit.","Common secrets/absolute paths are handled, but PII coverage is heuristic; privacyClass metadata does not itself suppress data. Up to 12 excerpts and schema fields may be previewed.","Verified in source; production disclosure outcomes unverified. 08_AI_CODEX_VERIFICATION_SECURITY.md.","No model request containing private data was made.","Packet builder/sanitizer recognizes selected patterns but is not a complete PII classifier.","Security-secret redaction and privacy classification were treated as the same boundary.","A learner may approve more identifying context than expected.","Education privacy expectations are under-explained.","“Sanitized” must not imply guaranteed de-identification.","Enforce sensitive privacy classes, add common identifier detection, minimize excerpts, and show a plain-language disclosure warning.","Block declared-sensitive fields and email/phone/common ID patterns from the outbound packet unless an explicit per-field override is made.","Synthetic PII fixtures are omitted/redacted; preview shows exactly what leaves; raw rows/paths/secrets remain absent; limitations are documented.","Table-driven sanitizer tests for secrets, emails, phones, IDs, false positives, Unicode, and privacy-class suppression.","Evidence schema and copy.","M","medium","CL-019"
"CL-019","Opaque session URLs act as bearer capabilities without clear sharing, retention, or revocation guidance","P2 — Material quality issue","high","always","security","session/proof URLs, stored evidence access, privacy copy","learner sharing or revisiting a session URL","Technological Implementation and Potential Impact","current route/access design; no cross-session probing performed","Possession of an opaque session/proof URL","Inspect route authentication/capability model and user-facing sharing/retention/revocation language.","Users understand that the URL grants access, how long data remains, how to revoke/delete it, and what a shared proof contains.","UUID-like URLs are the practical bearer capability; explicit warnings and a revocation/retention surface were not found.","Verified in source/documentation; predictability or unauthorized access not tested/unverified. 08_AI_CODEX_VERIFICATION_SECURITY.md.","No enumeration, cross-session access, or private-data test was attempted.","Public resource routes rely on opaque IDs; no account layer is intended for current scope.","No-account judgeability was prioritized without completing capability-URL UX.","Accidental link sharing can expose evidence/capsule metadata beyond expectations.","Privacy/data-handling story is incomplete.","Confidentiality depends on link secrecy; this must be explicit.","Add capability-link warning, concise retention policy, redacted share preview, and bounded revocation/deletion where feasible.","Persistent “Anyone with this link can view” notice before copy/export, content summary, expiry/retention statement, and support/contact path for revocation.","Warning precedes sharing; Capsule omits raw secrets/rows; documentation matches actual retention; invalid/revoked IDs fail closed.","UI/access tests for copy warning, expiry/revocation state, invalid ID, and proof redaction.","Data-retention decision and possibly storage lifecycle.","S for disclosure; M for revocation","medium","CL-015; CL-018"
"CL-020","Hashed static assets are forced to revalidate and the main JavaScript chunk remains large","P2 — Material quality issue","confirmed","always","performance","initial app shell and repeat navigation","mobile/poor-network learner and returning judge","Design","public Chromium cold/warm and throttled measurements","Load landing/Judge/replay cold then warm","Capture response caching and transfer/decoded sizes; compare cold/warm navigation.","Content-hashed immutable assets receive long cache lifetime and noncritical route code loads on demand.","Hashed JS/CSS use max-age=0, must-revalidate; warm transfer largely repeats. Initial transfer is about 296.6 KiB, decoded about 868.5 KiB; main JS is about 169.7 KiB transferred/598.9 KiB decoded.","Observed live/measured in evidence/performance/ux/live-performance-measurements.json and 07_BACKEND_RELIABILITY_PERFORMANCE.md.","Landing cold median TTFB 134.9 ms and LCP 1.080 s; throttled LCP 1.856 s. Performance is currently good, so this is production polish, not an outage.","Asset delivery cache headers and a broad client bundle expose the optimization opportunity.","Conservative global caching policy overrides content-hash semantics; route surfaces share one bundle.","Extra repeat bytes and less resilience on poor networks.","Small responsiveness deduction; current first paint is already strong.","None.","Cache hashed assets immutable and split only clearly cold route-heavy panels.","public, max-age=31536000, immutable for fingerprinted assets while keeping HTML no-cache; verify one conservative route split if low risk.","Warm load transfers no unchanged hashed body; HTML updates immediately; LCP/CLS do not regress; replay long tasks do not increase.","Header integration test and repeat-load performance budget.","Worker/static asset header configuration.","XS for caching; M for code splitting","medium","CL-002"
"CL-021","Core Worker and UI modules are highly concentrated and no hosted CI gate is visible","P2 — Material quality issue","high","always","reliability","apps/web/worker/api.ts, apps/web/src/App.tsx, test/release workflow","maintainers making deadline-critical corrections","Technological Implementation","repository structure and current automation","Inspect source sizes and CI configuration","Measure core module concentration; inventory hosted CI workflows and release gates.","Critical boundaries have focused modules and every submitted commit is automatically type/test/build/release-evidence checked.","Worker API is roughly 8,700 lines/299 KB and App roughly 152 KB; no hosted CI workflow was found, despite strong local scripts.","Verified in repository and 09_REPOSITORY_AND_TEST_AUDIT.md.","None.","Large modules combine many route/state responsibilities; local test/release scripts are extensive.","Hackathon velocity concentrated integration code while automated local checks outpaced hosted automation.","Indirect regression risk during rushed fixes.","Maintainability is not primary, but an accidental late regression damages all criteria.","Manual release claims are easier to drift without a pinned gate.","Add minimal CI now; defer broad refactoring until after submission.","One pinned workflow running type checks, focused authority/Worker/UI tests, build, secret scan, and artifact validation on the exact submitted commit.","Clean checkout passes; failing test/type/secret blocks; generated evidence is deterministic; current dirty work is not swept into refactors.","CI negative-control branch/fixture demonstrates each required gate fails correctly.","Repository hosting/access and stable commands.","S for CI; XL for safe decomposition","medium","CL-002"
